time_sent,time_reply,bet,side,result,duration_ms
2025-11-01T02:10:03.816Z,2025-11-01T02:10:06.965Z,3906,h,win,3149
2025-11-01T02:13:57.255Z,2025-11-01T02:14:00.417Z,3906,t,loss,3162
2025-11-01T02:14:18.723Z,2025-11-01T02:14:22.325Z,7812,t,win,3602
2025-11-01T02:14:41.410Z,2025-11-01T02:14:45.030Z,3906,t,loss,3620
2025-11-01T02:15:02.211Z,2025-11-01T02:15:05.655Z,7812,t,win,3444
2025-11-01T02:15:25.502Z,2025-11-01T02:15:28.645Z,3906,t,win,3143
2025-11-01T02:15:48.122Z,2025-11-01T02:15:51.375Z,3906,t,win,3253
2025-11-01T02:16:09.661Z,2025-11-01T02:16:12.865Z,3906,t,loss,3204
2025-11-01T02:16:28.380Z,2025-11-01T02:16:31.469Z,7812,t,loss,3089
2025-11-01T02:16:51.332Z,2025-11-01T02:16:54.850Z,15624,t,win,3518
2025-11-01T02:17:13.358Z,2025-11-01T02:17:16.496Z,3906,t,win,3138
2025-11-01T02:17:33.032Z,2025-11-01T02:17:36.365Z,3906,t,loss,3333
2025-11-01T02:17:55.303Z,2025-11-01T02:17:58.591Z,7812,t,win,3288
2025-11-01T02:18:16.539Z,2025-11-01T02:18:19.734Z,3906,t,win,3195
2025-11-01T02:18:35.992Z,2025-11-01T02:18:39.257Z,3906,t,loss,3265
2025-11-01T02:18:55.307Z,2025-11-01T02:18:58.898Z,7812,t,loss,3591
2025-11-01T02:19:14.486Z,2025-11-01T02:19:18.257Z,15624,t,loss,3771
2025-11-01T02:19:36.430Z,2025-11-01T02:19:39.785Z,31248,t,loss,3355
2025-11-01T02:19:58.686Z,2025-11-01T02:20:02.253Z,62496,t,loss,3567
2025-11-01T02:20:21.606Z,2025-11-01T02:20:25.003Z,124992,t,win,3397
2025-11-01T02:20:44.199Z,2025-11-01T02:20:47.336Z,3906,t,loss,3137
2025-11-01T02:21:06.655Z,2025-11-01T02:21:10.336Z,7812,t,win,3681
2025-11-01T02:21:30.172Z,2025-11-01T02:21:33.384Z,3906,t,win,3212
2025-11-01T02:21:48.492Z,2025-11-01T02:21:51.689Z,3906,t,loss,3197
2025-11-01T02:22:08.983Z,2025-11-01T02:22:12.225Z,7812,t,win,3242
2025-11-01T02:22:28.880Z,2025-11-01T02:22:32.388Z,3906,t,loss,3508
2025-11-01T02:22:47.586Z,2025-11-01T02:22:51.668Z,7812,t,win,4082
2025-11-01T02:23:07.608Z,2025-11-01T02:23:10.818Z,3906,t,loss,3210
2025-11-01T02:23:29.019Z,2025-11-01T02:23:32.700Z,7812,t,loss,3681
2025-11-01T02:23:50.038Z,2025-11-01T02:23:53.177Z,15624,t,win,3139
2025-11-01T02:24:12.860Z,2025-11-01T02:24:16.291Z,3906,t,loss,3431
2025-11-01T02:24:33.214Z,2025-11-01T02:24:36.486Z,7812,t,win,3272
2025-11-01T02:24:54.454Z,2025-11-01T02:24:57.650Z,3906,t,loss,3196
2025-11-01T02:25:12.932Z,2025-11-01T02:25:16.253Z,7812,t,loss,3321
2025-11-01T02:25:32.893Z,2025-11-01T02:25:36.335Z,15624,t,win,3442
2025-11-01T02:25:55.671Z,2025-11-01T02:25:58.785Z,3906,t,loss,3114
2025-11-01T02:26:14.931Z,2025-11-01T02:26:19.303Z,7812,t,win,4372
2025-11-01T02:26:38.879Z,2025-11-01T02:26:42.477Z,3906,t,win,3598
2025-11-01T02:27:00.534Z,2025-11-01T02:27:03.952Z,3906,t,loss,3418
2025-11-01T02:27:23.446Z,2025-11-01T02:27:26.733Z,7812,t,loss,3287
2025-11-01T02:27:44.029Z,2025-11-01T02:27:47.173Z,15624,t,loss,3144
2025-11-01T02:28:03.207Z,2025-11-01T02:28:06.688Z,31248,t,loss,3481
2025-11-01T02:28:23.021Z,2025-11-01T02:28:26.140Z,62496,t,win,3119
2025-11-01T02:28:44.902Z,2025-11-01T02:28:48.084Z,3906,t,win,3182
2025-11-01T02:29:08.025Z,2025-11-01T02:29:11.307Z,3906,t,loss,3282
2025-11-01T02:29:27.450Z,2025-11-01T02:29:30.702Z,7812,t,loss,3252
2025-11-01T02:29:50.613Z,2025-11-01T02:29:53.806Z,15624,t,loss,3193
2025-11-01T02:30:10.848Z,2025-11-01T02:30:14.292Z,31248,t,win,3444
2025-11-01T02:30:32.749Z,2025-11-01T02:30:35.914Z,3906,t,loss,3165
2025-11-01T02:30:52.693Z,2025-11-01T02:30:55.873Z,7812,t,win,3180
2025-11-01T02:31:14.922Z,2025-11-01T02:31:18.593Z,3906,t,loss,3671
2025-11-01T02:31:34.784Z,2025-11-01T02:31:38.144Z,7812,t,loss,3360
2025-11-01T02:31:54.030Z,2025-11-01T02:31:57.181Z,15624,t,loss,3151
2025-11-01T02:32:13.914Z,2025-11-01T02:32:18.031Z,31248,t,win,4117
2025-11-01T02:32:33.850Z,2025-11-01T02:32:37.643Z,3906,t,win,3793
2025-11-01T02:32:55.419Z,2025-11-01T02:33:03.456Z,3906,t,loss,8037
2025-11-01T02:33:19.188Z,2025-11-01T02:33:22.800Z,7812,t,win,3612
2025-11-01T02:33:41.782Z,2025-11-01T02:33:45.368Z,3906,t,loss,3586
2025-11-01T02:34:03.396Z,2025-11-01T02:34:06.799Z,7812,t,win,3403
2025-11-01T02:35:44.399Z,2025-11-01T02:35:47.778Z,3906,h,win,3379
2025-11-01T02:36:03.205Z,2025-11-01T02:36:06.863Z,3906,h,win,3658
2025-11-01T02:36:22.580Z,2025-11-01T02:36:27.657Z,3906,h,loss,5077
2025-11-01T02:36:42.971Z,2025-11-01T02:36:46.120Z,7812,h,win,3149
2025-11-01T02:37:04.607Z,2025-11-01T02:37:08.078Z,3906,h,win,3471
2025-11-01T02:37:23.432Z,2025-11-01T02:37:27.031Z,3906,h,loss,3599
2025-11-01T02:37:44.672Z,2025-11-01T02:37:48.575Z,7812,h,win,3903
2025-11-01T02:38:05.419Z,2025-11-01T02:38:08.750Z,3906,h,win,3331
2025-11-01T02:38:25.883Z,2025-11-01T02:38:33.515Z,3906,h,win,7632
2025-11-01T02:38:49.086Z,2025-11-01T02:38:52.721Z,3906,h,win,3635
2025-11-01T02:39:09.243Z,2025-11-01T02:39:12.647Z,3906,h,loss,3404
2025-11-01T02:39:27.759Z,2025-11-01T02:39:31.070Z,7812,h,loss,3311
2025-11-01T02:39:50.233Z,2025-11-01T02:39:54.028Z,15624,h,win,3795
2025-11-01T02:40:13.187Z,2025-11-01T02:40:17.875Z,3906,h,loss,4688
2025-11-01T02:40:32.886Z,2025-11-01T02:40:36.463Z,7812,h,loss,3577
2025-11-01T02:40:55.568Z,2025-11-01T02:40:59.465Z,15624,h,loss,3897
2025-11-01T02:41:17.835Z,2025-11-01T02:41:21.149Z,31248,h,loss,3314
2025-11-01T02:41:37.013Z,2025-11-01T02:41:40.228Z,62496,h,loss,3215
2025-11-01T02:41:59.116Z,2025-11-01T02:42:02.814Z,124992,h,loss,3698
2025-11-01T02:42:20.202Z,2025-11-01T02:42:23.846Z,249984,h,win,3644
2025-11-01T02:42:41.313Z,2025-11-01T02:42:45.050Z,3906,h,loss,3737
2025-11-01T02:43:01.261Z,2025-11-01T02:43:04.430Z,7812,h,loss,3169
2025-11-01T02:43:19.931Z,2025-11-01T02:43:24.116Z,15624,h,win,4185
2025-11-01T02:43:42.234Z,2025-11-01T02:43:45.579Z,3906,h,win,3345
2025-11-01T02:44:03.627Z,2025-11-01T02:44:06.716Z,3906,h,loss,3089
2025-11-01T02:44:24.120Z,2025-11-01T02:44:27.332Z,7812,h,win,3212
2025-11-01T02:44:44.150Z,2025-11-01T02:44:47.511Z,3906,h,win,3361
2025-11-01T02:45:05.867Z,2025-11-01T02:45:08.933Z,3906,h,loss,3066
2025-11-01T02:45:28.725Z,2025-11-01T02:45:32.039Z,7812,h,loss,3314
2025-11-01T02:45:51.373Z,2025-11-01T02:45:55.196Z,15624,h,loss,3823
2025-11-01T02:46:12.774Z,2025-11-01T02:46:16.134Z,31248,h,win,3360
2025-11-01T02:46:33.384Z,2025-11-01T02:46:36.466Z,3906,h,win,3082
2025-11-01T02:46:53.791Z,2025-11-01T02:46:57.033Z,3906,h,win,3242
2025-11-01T02:47:12.776Z,2025-11-01T02:47:15.872Z,3906,h,win,3096
2025-11-01T02:47:32.220Z,2025-11-01T02:47:35.355Z,3906,h,loss,3135
2025-11-01T02:47:53.922Z,2025-11-01T02:47:57.205Z,7812,h,loss,3283
2025-11-01T02:48:15.043Z,2025-11-01T02:48:18.220Z,15624,h,loss,3177
2025-11-01T02:48:34.635Z,2025-11-01T02:48:37.879Z,31248,h,win,3244
2025-11-01T02:48:54.945Z,2025-11-01T02:48:58.547Z,3906,h,loss,3602
2025-11-01T02:49:15.202Z,2025-11-01T02:49:18.419Z,7812,h,loss,3217
